Title,Content
भिखारी,"```
(1) Look, a beggar stands still,
With pitiful eyes, he looks up.
A silent light of deep sorrow,
A thin thread of hope he plays,
Near the sunlit courtyard.
In a single point, he dissolves,
The entire history of his life.

(2) Look, look at those tattered clothes!
Oh, time, how cruel you are!
Thoughts like stones on the path of life!
Shivering and trembling he stands.
The beggar extends his begging bowl, alas!
With taxes, he's unstable, filled with fear.

(3) Look at the dust of years,
Fallen upon his head.
Look at the streams of tears,
Etched upon his face,
Day after day, upon his chest,
Wounds are carved deep.

(4) Slowly, slowly, he drags himself,
Silent cries fill the air around,
With a heart breaking from agony,
Leaning on his worn-out stick,
He utters in a voice that tears through his chest,
""A handful of rice.""
A lifetime's plea,
""A handful of rice.""

(5) Among humans, this is the cry,
From the depths of a human heart.
From brothers, this plea for alms,
A handful of rice he seeks.
In the sunlit courtyard, this,
A dark observation.
Amidst the laughter of flowers, this,
A sorrowful lamentation.

(6) Who could he be, whose son?
Whose father, so poor?
Which mother, while holding him dear,
Lit the two lamps of his eyes?
What hope opened his eyes,
Near the gaze of the sun and moon?
Why did they close? Why did he lose his mind?
Why did this sweet life's lamp dim?

(7) Before the eyes of Lord Buddha,
This beggar came,
In this form, in these words,
The pain in his heart cried out.
The vast ocean of great compassion,
In these very words, it surged.
Disguise aside, the pride of sacrifice,
Turned cruel and heartless.

(8) Fallen from dark clouds,
Lost in the darkness,
Is it God or a beggar?
God speaks, having entered the heart,
Searching every house and courtyard.
He speaks in a voice of pain,
With a heart heavy with compassion.
An ocean of tears from ages past,
He pours out.
In the depths of sorrow, God speaks,
Opening the abyss below.
He begs for compassion from his brothers,
""Oh, people of the earth!""
God begs for alms,
""A beggar in my own courtyard?""
``` 
"
बादल,"```
We are the offspring of the vast waters,
Born of the summer's heat,
Ours was a festive birth,
All bright and clean,
The sun and waves laughed,
Dancing with glee,
The winds were invited from afar,
Blowing with great vigor.

We yearned to soar the skies,
Our aspirations high,
Slowly we climbed the clean rays,
Like tiny threads of light.
Higher and higher we climbed, met, and spread,
Into the realm of the sky,
The wind carries us to wander the world,
Islands, cities, and jungles.

We see the divine exhibition of the Earth,
Of plains and fields,
Of valleys, caves, mountains, and forests,
Of rivers and gardens.

Streams of crystal-clear water,
Cascading waterfalls, groves of trees,
From humble huts to grand mansions,
Palaces, and avenues.
```"
तिनको घँसिया गीत,"```
1. On the velvet-soft, grassy, green roof
Of the mountain's lush and beautiful lap,
Chirping, chirping, countless birds sing.
The sky, a canvas of pristine, deep blue,
With fluffy, cotton-like clouds,
Westward, a crimson glow, eastward, a net,
A painter's masterpiece.
A lone maiden, eyes bright,
Body radiant, cheeks rosy,
A light, delicate, heart-stealing melody,
Charming, graceful, and lovely.
In the open, bright expanse of solitude,
Her youthful laughter blooms freely,
A full moon in its artistic glory.
Sparkling dewdrops playfully dance,
A charming smile graces her lips,
In the beautiful water, on the cool ground,
She sings her melodious song.

2. The water's murmur, the sun's descent,
Clouds shimmer, leaves sway gently,
Tender hands gather fresh, red berries.
The young maiden, like a flowing river,
Cuts through, her emotions resonating.
Fragrant crops fill the essence within,
While somewhere far, a distant flute
Plays its youthful tune.
A gentle tremor arises, enchanting,
As flower buds open their lips,
Blending with the water, merging with the heart,
Soon to unite within the clouds.
The heart beats in sync, the world a melody,
In the beautiful water, on the cool ground,
She sings her melodious song.

3. Memories resurface,
As all those melodies intertwine,
Time flows in reverse,
Birdsong echoes in my ears.
Nature adorns the same hues,
The maiden sits, cutting grass,
A red rhododendron blooms in her hair,
Youth's sweet reflection in the water,
Seems boundless, like a distant shore.
I fade away, like a speck of dust,
At the beautiful gate of infinity.
My heart trembles, touched by nature,
A lotus bud of beauty,
A song of longing takes flight,
To reach the bright city of light.
Time speaks in enchanting words,
As the grass is cut with a swish,
In the beautiful water, on the cool ground,
That melodious song arises once more.
```"
सन्ध्या,"```
Lalitpur's high-art craftsmanship, what a wonder the chisel has wrought!
With balanced, delicate lines, what patterns have been etched, look!
Upon the vapor-smooth marble, red!
In the Vasant Mahal, a window to the ancient West!
Atop Chandragiri, vast!
Did it drink water? It gleams with gold!
Well-prepared, it stands!

I am a traveler of the sunset!
On the wings of imagination, a sweet murmur!
What turmoil in my emotions!
The road of time is long!
Ages are alleys, alleys!
My soul, a spectator,
Seeks beauty, alley by alley!

Behind the window's patterns, whose exquisite face is that?
Whose sweet fragments of vision, savoring, savoring,
The flickering lights, my heart, amazed by imagination, is truly luxurious!
Older than memory, who are those queens of beauty?
Royal maids of a bygone era?
Burning bright, solitary?
Immortal? Thirsty for love?
Etched in the bars, are they in heaven's court?
In Vasant's inner chambers today,
In Shringar?

Are they eager to apply kohl, to adorn themselves in long, flowing garments?
Or is it the dream of their own heart,
Love-struck?
Krishna-like, with hair like flowing clouds?
To captivate? To fill with jewels?
To steal hearts? To conquer?
The Simrik bird's spring-sun-like, bright tika,
Firmly placed on the forehead!
You wiped it with a little water, that smudge! On this window!
In front of the mirror, bend down, stand tall!
Test your conquering power with a sly glance!
Be joyful, a little playful, with a blush blooming!
Erase a little, add a little!
Imagine a little more!
The soul of music flows,
Half-shy! Hum softly,
Oh beautiful one!

This fog, woven by the Himalayas' breath,
Thin, shimmering, and fleeting,
Lift the starry curtain a little! Cast a swift wind upon it!
Your hair is dark!
Is there a message to be delivered,
To the depths of Amravati's spring?
From your beloved King Chandra?
Climbing these Himalayan, forest-filled, thief-ridden paths,
This Arundhati of the wilderness!
Oh ancient muse!
Whose memory's red rendezvous makes you fall in love!
That immortal, eternally youthful, and glorious one!
To that indescribable connoisseur,
My salutations, oh king!
``` 
"
सम्झना,"```
When clouds gather in the sky,
Sadness descends upon life's tapestry.
When tears cascade like pouring rain,
A barren wasteland blossoms within the heart.

When logic crumbles into lamentations,
Painful memories resurface in the mind.
Like dreams of a city after an earthquake,
Remember the night of the new moon.

Cries echo in the desert,
Hands reach for the forehead in despair.
Life, a curse to endure,
A blade poised for a final act.

I curse this cruel world, a jungle,
A cry lost within its depths.
When the will to live fades,
Despair engulfs the heart.

Then I realize, holding back my tears,
That you are the poison and the cure.
In my memories, a garden blooms,
Filled with colors and sweet nectar.

Rise again, my weary soul,
Bathe in the cool waters of resilience.
Let the nightingale sing in your heart,
Bringing forth a gentle spring.

Your breath, a fragrant breeze,
Carries the scent of Malayan winds.
In the depths of my memories,
Your sweet melodies awaken.
```
"
यात्री,"```
Which temple do you go to, O traveler, which temple do you seek?
What offerings do you carry, and how do you plan to proceed?
On whose shoulders do you ride, to which divine city do you wish to reach?

With bones as beautiful pillars, and flesh as walls so wide,
This golden roof of the mind, and senses as doors inside,
Nerves like rivers flowing, a temple vast and grand,
Which temple do you go to, O traveler, at which door do you stand?

On the beautiful throne of the mind, reigns the Lord of the Universe,
This radiant jewel of consciousness, His crown, a divine verse.
This beautiful temple of the body, in the center of all creation,
God resides within, yet you search outside, what a strange situation!

God dwells in the depths, while you wander on the surface so far,
You search for Him everywhere, but have you looked within, by far?
Cultivate your heart, let the light within you brightly blaze,
O fellow traveler! God walks beside you, in a myriad of ways.

God kisses the hands that work, with a touch so pure and bright,
He caresses with His magical hands, His devotees with all His might.
God sings by the roadside, in the melody of the birds so sweet,
He speaks in the pain and sorrow, of the people He longs to meet.

But He never gives darshan, to the eyes and ears of the skin,
Which temple do you go to, O traveler, in this foreign land within?
Come, let us go together, and join hands with all mankind,
Let us heal the wounds of the suffering, with compassion we shall find.

Let us become the divine face of God, and smile upon this land,
For in serving humanity, true divinity we shall command.
```"
प्रश्नोत्तर,"```
‘What is that nectar, the drink of the gods?’
‘Go, earn it through honest work.’

‘Everyone seeks happiness, where is it?’
‘Where you erase yourself and give to others.’

‘Why can't I find peace? Where does it reside?’
‘Greed departs, where companionship resides.’

‘In which temple does God reside?’
‘He smiles, seated in the throne of a pure heart.’

‘To understand this mysterious life,
Where should I go? What should I read? Who should be my guru?’

‘Amongst blooming roses, knowledge blossoms in many forms,
Reside in the garden, and all truths will be revealed.’

‘What is the duty of man, when there is so much conflict?’
‘Look at the stars in the sky, and ask your heart!’

‘What is great in this world?’ ‘Sweat and wisdom.’
‘What purpose should one take?’ ‘To soar and touch the moon.’
``` 
"
आफ्नो घर,"```
Thought! Enter sharp, fill the heart with light,
In the dark of night, spread your rays, oh beautiful.
Like the sunrise, a sweet sight to show,
Awaken a thousand gentle words of love.

Rise gently, like the cool morning breeze,
With good wishes, dear fragrance, delightful.
Let imagination fly, a divine swan in the eastern sky,
Where, in the enchanting dawn, lies the joy of truth and beauty.

Like the pure dewdrops on the jasmine flower,
May your heart be open, a canvas for emotions to flow.
Shine like gold, ignite the clouds with your passion,
Unspoken, delicate, like a tender, small thought.

Bloom, sweet flowers, in the garden of the heart,
A joy to behold, though nameless and unique.
Sway gently, young leaves, like children of beauty,
I see your vibrant colors, wandering in the garden of my heart.

May all my desires find fulfillment in your beauty,
My meditation, like a devotee's, finds its grand temple in nature.
On the shimmering shoulders of the dawn-lit Himalayas,
I seek the familiar paths within my heart, to wander in my own home. 
```"
जीवन वन,
वृक्ष,"```
1 A tree stands tall before me, its spread is wide and dense,
Its cool leaves whisper softly, a haven of peace intense.
My heart soars with emotions, as colors dance in the breeze,
Its roots spread deep within my soul, branches adorned with flowers at ease.

2 Oh tree, I share my secrets, with you, my friend so old,
Sweet solace in your presence, even when alone, I'm bold.
In silence, we converse, our bond transcends mere words,
Unspoken tales we share, like secrets whispered by birds.

3 You have life, desires, a heart that beats within,
Your life unfolds in colors, mirroring my own skin.
The earth dances through seasons, curtains rise and fall,
Sun and shade play upon you, winds whisper and enthrall.

4 From afar, cuckoos arrive, their melodies so sweet,
They build their nests upon your boughs, while other birds discreet,
Bring tidings from distant lands, a symphony so grand,
Awakening within us, emotions we understand.

5 Your roots delve deep in the earth, drawing sustenance unseen,
You grow, you bloom, your flowers bright, a reflection of our dreams.
Our roots too lie within the earth, we strive for heights above,
Within us lies the beauty, the joy of spring's gentle love.

6 Hues of dawn and twilight, the moon's soft, silvery glow,
Rain's gentle touch, wind's playful dance, stars twinkling above,
The purity of water, the warmth of the sun's embrace,
All blend and bloom in vibrant hues, emotions we retrace.

7 Your leaves, like thoughts, abound and sway, they fall and rise anew,
Taking shape and form again, mirroring what we go through.
They dance with life, in rhythm with the breath of the sky,
Like waves unseen, our lives too flow, beneath a watchful eye.

8 You have your place, your purpose, your striving to fulfill,
To spread, to bloom, to wither, a cycle of nature's will.
Your form, your essence, your beauty, unique in every way,
Your space, your role, your own to claim, in life's grand display.

9 A seed you were, a tree you became, your form yet to unfold,
A million leaves, a tapestry of beauty, within you they were told.
You spread your branches, a verdant hue, your colors bright and bold,
Today's reality, tomorrow's dream, a story yet untold.

10 New seeds will sprout, new trees will rise, whispering in the breeze,
New birds will sing, their melodies, carried on the seas.
This earth, the moon, the sun above, will dance in rhythmic sway,
To bloom, to fade, a cycle of life, where beauty holds its sway.

Sharda, 2.5, Shrawan 1993
``` 
"
