Title,cleaned_text
भिखारी,beggar stand still pitiful eye look silent light deep sorrow thin thread hope play near sunlit courtyard single point dissolve entire history life tattered clothes oh time cruel thought like stone path life shivering trembling stand beggar extends begging bowl ala tax he unstable filled fear dust year fallen upon head stream tear etched upon face day day upon chest wound carved deep slowly slowly drag silent cry fill air around heart breaking agony leaning wornout stick utters voice tear chest handful rice lifetime plea handful rice among human cry depth human heart brother plea alms handful rice seek sunlit courtyard dark observation amidst laughter flower sorrowful lamentation could whose son whose father poor mother holding dear lit two lamp eye hope opened eye near gaze sun moon close lose mind sweet life lamp dim eye lord buddha beggar came form word pain heart cried vast ocean great compassion word surged disguise aside pride sacrifice turned cruel heartless fallen dark cloud lost darkness god beggar god speaks entered heart searching every house courtyard speaks voice pain heart heavy compassion ocean tear age past pours depth sorrow god speaks opening abyss begs compassion brother oh people earth god begs alms beggar courtyard
बादल,offspring vast water born summer heat festive birth bright clean sun wave laughed dancing glee wind invited afar blowing great vigor yearned soar sky aspiration high slowly climbed clean ray like tiny thread light higher higher climbed met spread realm sky wind carry u wander world island city jungle divine exhibition earth plain field valley cave mountain forest river garden stream crystalclear water cascading waterfall grove tree humble hut grand mansion palace avenue
तिनको घँसिया गीत,velvetsoft grassy green roof mountain lush beautiful lap chirping chirping countless bird sing sky canvas pristine deep blue fluffy cottonlike cloud westward crimson glow eastward net painter masterpiece lone maiden eye bright body radiant cheek rosy light delicate heartstealing melody charming graceful lovely open bright expanse solitude youthful laughter bloom freely full moon artistic glory sparkling dewdrop playfully dance charming smile grace lip beautiful water cool ground sings melodious song water murmur sun descent cloud shimmer leaf sway gently tender hand gather fresh red berry young maiden like flowing river cut emotion resonating fragrant crop fill essence within somewhere far distant flute play youthful tune gentle tremor arises enchanting flower bud open lip blending water merging heart soon unite within cloud heart beat sync world melody beautiful water cool ground sings melodious song memory resurface melody intertwine time flow reverse birdsong echo ear nature adorns hue maiden sits cutting grass red rhododendron bloom hair youth sweet reflection water seems boundless like distant shore fade away like speck dust beautiful gate infinity heart tremble touched nature lotus bud beauty song longing take flight reach bright city light time speaks enchanting word grass cut swish beautiful water cool ground melodious song arises
सन्ध्या,lalitpurs highart craftsmanship wonder chisel wrought balanced delicate line pattern etched upon vaporsmooth marble red vasant mahal window ancient west atop chandragiri vast drink water gleam gold wellprepared stand traveler sunset wing imagination sweet murmur turmoil emotion road time long age alley alley soul spectator seek beauty alley alley behind window pattern whose exquisite face whose sweet fragment vision savoring savoring flickering light heart amazed imagination truly luxurious older memory queen beauty royal maid bygone era burning bright solitary immortal thirsty love etched bar heaven court vasants inner chamber today shringar eager apply kohl adorn long flowing garment dream heart lovestruck krishnalike hair like flowing cloud captivate fill jewel steal heart conquer simrik bird springsunlike bright tika firmly placed forehead wiped little water smudge window front mirror bend stand tall test conquering power sly glance joyful little playful blush blooming erase little add little imagine little soul music flow halfshy hum softly oh beautiful one fog woven himalaya breath thin shimmering fleeting lift starry curtain little cast swift wind upon hair dark message delivered depth amravatis spring beloved king chandra climbing himalayan forestfilled thiefridden path arundhati wilderness oh ancient muse whose memory red rendezvous make fall love immortal eternally youthful glorious one indescribable connoisseur salutation oh king
सम्झना,cloud gather sky sadness descends upon life tapestry tear cascade like pouring rain barren wasteland blossom within heart logic crumbles lamentation painful memory resurface mind like dream city earthquake remember night new moon cry echo desert hand reach forehead despair life curse endure blade poised final act curse cruel world jungle cry lost within depth live fade despair engulfs heart realize holding back tear poison cure memory garden bloom filled color sweet nectar rise weary soul bathe cool water resilience nightingale sing heart bringing forth gentle spring breath fragrant breeze carry scent malayan wind depth memory sweet melody awaken
यात्री,temple traveler temple seek offering carry plan proceed whose shoulder ride divine city wish reach bone beautiful pillar flesh wall wide golden roof mind sens door inside nerve like river flowing temple vast grand temple traveler door stand beautiful throne mind reign lord universe radiant jewel consciousness crown divine verse beautiful temple body center creation god resides within yet search outside strange situation god dwells depth wander surface far search everywhere looked within far cultivate heart light within brightly blaze fellow traveler god walk beside myriad way god kiss hand touch pure bright caress magical hand devotee might god sings roadside melody bird sweet speaks pain sorrow people longs meet never give darshan eye ear skin temple traveler foreign land within u together join hand mankind u heal wound suffering compassion shall u divine face god smile upon land serving humanity true divinity shall command
प्रश्नोत्तर,nectar drink god earn honest everyone seek happiness erase others cant peace reside greed departs companionship resides temple god reside smile seated throne pure heart understand mysterious life read guru amongst blooming rose knowledge blossom many form reside garden truth revealed duty man much conflict star sky heart great world sweat wisdom purpose one soar touch moon
आफ्नो घर,thought enter sharp fill heart light dark night spread ray oh beautiful like sunrise sweet sight show awaken thousand gentle word love rise gently like cool morning breeze good wish dear fragrance delightful imagination fly divine swan eastern sky enchanting dawn lie joy truth beauty like pure dewdrop jasmine flower may heart open canvas emotion flow shine like gold ignite cloud passion unspoken delicate like tender small thought bloom sweet flower garden heart joy behold though nameless unique sway gently young leaf like child beauty vibrant color wandering garden heart may desire fulfillment beauty meditation like devotee find grand temple nature shimmering shoulder dawnlit himalaya seek familiar path within heart wander home
जीवन वन,
वृक्ष,tree stand tall spread wide dense cool leaf whisper softly peace intense heart soar emotion color dance breeze root spread deep within soul branch adorned flower ease oh tree share secret friend old sweet solace presence even alone im bold silence converse bond transcends mere word unspoken tale share like secret whispered bird life desire heart beat within life unfolds color mirroring skin earth dance season curtain rise fall sun shade play upon wind whisper enthrall afar cuckoo arrive melody sweet build nest upon bough bird discreet bring tidings distant land symphony grand awakening within u emotion understand root delve deep earth drawing sustenance unseen grow bloom flower bright reflection dream root lie within earth strive height within u lie beauty joy spring gentle love hue dawn twilight moon soft silvery glow rain gentle touch wind playful dance star twinkling purity water warmth sun embrace blend bloom vibrant hue emotion retrace leaf like thought abound sway fall rise anew taking shape form mirroring dance life rhythm breath sky like wave unseen life flow beneath watchful eye place purpose striving fulfill spread bloom wither cycle nature form essence beauty unique every way space role claim life grand display seed tree became form yet unfold million leaf tapestry beauty within told spread branch verdant hue color bright bold today reality tomorrow dream story yet untold new seed sprout new tree rise whispering breeze new bird sing melody carried sea earth moon sun dance rhythmic sway bloom fade cycle life beauty hold sway sharda shrawan
